Phylum,Class,Order,Family,Genus,Species,Common_Name,Status,BRO,TOR,SAN,HEN,IUCN_No,Pop_Trend
,조기강,잉어목,잉어과,,연준모치,Phoxinus phoxinus Linnaeus,LC,0,0,1,0,55890,st
,조기강,연어목,연어과,,열목어,Brachymystax lenok tsinlingensis Li,LC,0,0,1,0,55897,st
,조기강,잉어목,미꾸리과,,왕종개,"Iksookimia longicorpa Kim, Choi and Nalbant",LC,1,0,0,1,58535,de
,조기강,잉어목,잉어과,,왜매치,Abbottina springeri Banarescu and Nalbant,LC,0,0,0,1,58536,un
,조기강,잉어목,잉어과,,왜몰개,Aphyocypris chinensis G?nther,VU,0,1,0,0,19179,de
,조기강,청어목,멸치과,,웅어,Coilia nasus Temminck and Schlegel,NT,0,0,0,1,55182,un
,조기강,바다빙어목,바다빙어과,,은어,Plecoglossus altivelis altivelis Temminck and Schlegel,NT,1,0,0,1,59107,de
,조기강,잉어목,잉어과,,이스라엘잉어,Cyprinus carpio Linnaeus,LC,1,0,1,1,54658,st
,조기강,잉어목,잉어과,,임실납자루,Acheilognathus somjinensis Kim and Kim,LC,1,1,0,1,41065,in
,조기강,잉어목,잉어과,,잉어,Cyprinus carpio Linnaeus,LC,0,0,1,0,59467,de
,조기강,메기목,퉁가리과,,자가사리,Liobagrus mediadiposalis Mori,EN,1,0,0,0,57998,de
,조기강,큰가시고기목,큰가시고기과,,잔가시고기,Pungitius kaibarae Tanaka,VU,0,0,0,1,58000,de
,조기강,청어목,청어과,,전어,Konosirus punctatus Temminck and Schlegel,LC,0,0,1,0,59471,un
,조기강,농어목,농어과,,점농어,Lateolabrax maculatus McClelland,DD,1,0,1,0,59033,un
,조기강,잉어목,잉어과,,점몰개,Squalidus multimaculatus Hosoya and Jeon,LC,0,0,1,1,55823,un
,조기강,잉어목,미꾸리과,,점줄종개,Cobitis lutheri Rendahl,LC,1,1,1,1,59487,un
,조기강,농어목,동사리과,,좀구굴치,Micropercops swinhonis G?nter,LC,0,1,0,0,58174,in
,조기강,잉어목,미꾸리과,,좀수수치,Kichulchoia brevifasciata Kim and Lee,LC,1,0,0,0,58167,st
,조기강,잉어목,종개과,,종개,Orthrias toni Dybowsky,LC,1,1,1,1,22680107,de
,조기강,농어목,주둥치과,,주둥치,Nuchequula nuchalis Temminck and Schlegel,LC,1,0,1,1,22680104,in
,조기강,동갈치목,학공치과,,줄공치,Hyporhamphus intermedius Cantor,LC,0,1,0,1,22679993,de
,조기강,잉어목,잉어과,,줄납자루,Acheilognathus yamatsutae Mori,LC,0,0,1,1,22680301,de
,조기강,농어목,망둑어과,,줄망둑,Acentrogobius pflaumii Bleeker,LC,0,0,0,1,22680163,st
,조기강,잉어목,잉어과,,줄몰개,Gnathopogon strigatus Regan,LC,1,0,1,1,22680287,de
,조기강,잉어목,미꾸리과,,줄종개,"Cobitis tetralineata Kim, Park and Nalbant",EN,0,0,0,1,22680252,de
,조기강,잉어목,잉어과,,중고기,Sarcocheilichthys nigripinnis morii Jordan and Hubbs,LC,0,0,0,1,22680145,de
,조기강,농어목,망둑어과,,짱둥어,Boleophthalmus pectinirostris Linnaeus,LC,0,0,0,1,22680277,st
,조기강,잉어목,잉어과,,참갈겨니,"Zacco koreanus Kim, Oh and Hosoya",LC,0,0,1,1,22680247,de
,조기강,잉어목,잉어과,,참마자,Hemibarbus longirostris Regan,LC,0,0,0,1,22680233,de
,조기강,잉어목,잉어과,,참몰개,Squalidus chankaensis tsuchigae Jordan and Hubbs,LC,0,0,1,0,22680290,de
,조기강,잉어목,잉어과,,참붕어,Pseudorasbora parva Temminck and Schlegel,NT,0,0,1,0,22680153,de
,조기강,잉어목,미꾸리과,,참종개,Iksookimia koreensis Kim,LC,0,0,0,1,22680186,de
,조기강,잉어목,잉어과,,참중고기,Sarcocheilichthys variegatus wakiyae Mori,LC,0,1,0,0,22680243,st
,조기강,잉어목,잉어과,,초어,Ctenopharyngodon idellus Cuvier and Valenciennes,LC,0,0,1,1,22680167,st
,조기강,잉어목,잉어과,,치리,Hemiculter eigenmanni Jordan and Metz,LC,0,0,1,0,22680170,de
,두갑강,칠성장어목,칠성장어과,,칠성장어,Lethenteron camtschaticum Tilesius,LC,0,0,0,1,22680149,un
,조기강,잉어목,잉어과,,칼납자루,Acheilognathus koreensis Kim and Kim,LC,0,0,1,0,22680329,st
,조기강,큰가시고기목,큰가시고기과,,큰가시고기,Gasterosteus aculeatus Linnaeus,LC,1,0,0,0,22679881,un
,조기강,잉어목,잉어과,,큰납지리,Acanthorhodeus macropterus Bleeker,LC,0,0,0,1,22679893,de
,조기강,농어목,망둑어과,,큰볏말뚝망둥어,Periophthalmus modestus Cantor,LC,0,0,0,1,22680402,de
,조기강,잉어목,잉어과,,큰줄납자루,Acheilognathus majusculus Kim and Yang,LC,1,0,1,0,22680367,in
,조기강,메기목,퉁가리과,,퉁가리,Liobagrus andersoni Regan,LC,0,0,1,1,22680370,in
,조기강,메기목,퉁가리과,,퉁사리,"Liobagrus obesus Son, Kim and Choo",NT,1,0,1,0,22680373,de
,조기강,농어목,망둑어과,,풀망둑,Synechogobius hasta Temminck and Schlegel,LC,1,0,0,0,22680364,de
,조기강,잉어목,잉어과,,피라미,Zacco platypus Temminck and Schlegel,LC,1,0,0,0,22679935,in
,조기강,동갈치목,학공치과,,학공치,Hyporhamphus sajori Temminck and Schlegel,LC,1,0,0,1,22679943,in
,조기강,잉어목,잉어과,,한강납줄개,"Rhodeus pseudosericeus Arai, Jeon and Ueda",EN,1,0,1,0,22679954,de
,조기강,쏨뱅이목,둑중개과,,한둑중개,Cottus hangiongensis Mori,LC,1,0,1,0,22680462,in
,조기강,복어목,참복과,,황복,Takifugu obscurus Abe,LC,1,0,0,0,22680455,st
,조기강,잉어목,잉어과,,황어,Tribolodon hakonensis G?nther,LC,0,0,1,0,22680459,in
,조기강,농어목,망둑어과,,흰발망둑,Acanthogobius lactipes Hilgendorf,LC,0,0,1,1,22680101,st
,조기강,잉어목,잉어과,,흰수마자,Gobiobotia nakdongensis Mori,LC,0,1,0,1,22679896,in
,조기강,잉어목,잉어과,,흰줄납줄개,Rhodeus ocellatus Kner,LC,0,0,0,1,22679975,de
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
